name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	ind.region	stein.region
RAMY8	65.8033	-29.4765	-10.534426449014	-999	RAMY	R	depth	64.278	-27.4548	-10.9125	middletemporal	n/a
RAH1	22.3183	-8.44397	-23.113161853548	-999	RAH	R	depth	24.6995	-9.54329	-18.3358	n/a	Right CA1
RAH2	26.9383	-9.39511	-21.2062146051184	-999	RAH	R	depth	29.9799	-10.0409	-17.526	n/a	Right CA1
RAH3	32.7624	-12.6042	-20.9856141584821	-999	RAH	R	depth	35.9455	-11.598	-16.5729	n/a	Right CA1
RAH4	37.7127	-14.8765	-20.4502154308715	-999	RAH	R	depth	40.7308	-12.6387	-15.1856	n/a	Right CA1
RAH5	42.2223	-16.0352	-20.6498881481662	-999	RAH	R	depth	45.9746	-13.2699	-15.2952	fusiform	n/a
RAH6	49.403	-17.5531	-17.7740867846978	-999	RAH	R	depth	51.9768	-14.6936	-13.4238	middletemporal	n/a
RAH7	55.7615	-17.8735	-13.088443211166	-999	RAH	R	depth	56.8013	-16.3579	-12.4079	middletemporal	n/a
RAH8	60.2541	-19.6999	-6.71129293828798	-999	RAH	R	depth	61.1902	-19.1223	-10.7252	middletemporal	n/a
RPH1	24.6356	-6.47245	-23.152910122218	-999	RPH	R	depth	27.3187	-7.04984	-18.8444	n/a	Right Sub
RPH2	29.0589	-8.51923	-21.3103403689168	-999	RPH	R	depth	32.1443	-8.71416	-17.8286	n/a	Right CA1
RPH3	34.8124	-12.0606	-21.6694243311562	-999	RPH	R	depth	38.11	-10.2713	-16.8755	n/a	Right CA1
RPH4	39.4607	-13.8428	-20.633038639994	-999	RPH	R	depth	42.8952	-11.3119	-15.4882	n/a	Right PRC
RPH5	44.5249	-14.7925	-19.7755191965155	-999	RPH	R	depth	48.1756	-11.8095	-14.6785	fusiform	n/a
RPH6	50.8482	-17.4753	-17.9783658862946	-999	RPH	R	depth	53.1167	-14.5868	-13.4875	middletemporal	n/a
RPH7	57.0409	-17.5145	-12.9646141443883	-999	RPH	R	depth	57.9413	-16.2508	-12.4706	middletemporal	n/a
RPH8	61.0043	-18.0065	-6.00183431277232	-999	RPH	R	depth	62.2513	-17.7692	-10.0456	middletemporal	n/a
LOF1	17.5461	24.2536	-30.8058674017685	-999	LOF	R	strip	22.896	21.2114	-19.0047	lateralorbitofrontal	n/a
LOF2	6.02563	24.9546	-28.4563380392387	-999	LOF	R	strip	11.0631	23.1461	-21.1944	medialorbitofrontal	n/a
LOF3	-1.82831	27.3852	-21.7900785681413	-999	LOF	L	strip	1.10875	24.3286	-21.9254	medialorbitofrontal	n/a
LOF4	-13.5248	23.4673	-29.0044466556913	-999	LOF	L	strip	-9.87027	24.2909	-22.4185	lateralorbitofrontal	n/a
LOF5	-20.8337	29.7367	-29.7132876042745	-999	LOF	L	strip	-20.0035	28.6553	-20.8336	lateralorbitofrontal	n/a
LOF6	-30.9639	32.1319	-28.1832871910585	-999	LOF	L	strip	-30.3646	30.384	-17.4002	lateralorbitofrontal	n/a
LOF7	-40.7807	34.2844	-24.9758146780393	-999	LOF	L	strip	-39.0225	33.7858	-11.4823	parsorbitalis	n/a
LOF8	-52.9176	34.5742	-18.414232844025	-999	LOF	L	strip	-46.8261	35.2154	-3.86781	parstriangularis	n/a
LAT1	-20.6001	10.5436	-32.6549046998077	-999	LAT	L	strip	-18.4441	12.1186	-21.0433	lateralorbitofrontal	n/a
LAT2	-22.9118	16.5857	-39.7158902411151	-999	LAT	L	strip	-22.7284	16.296	-29.0787	temporalpole	n/a
LAT3	-31.9986	19.9063	-46.795574761912	-999	LAT	L	strip	-32.4272	17.9118	-35.0681	temporalpole	n/a
LAT4	-41.92	17.7408	-47.4017990905133	-999	LAT	L	strip	-42.0907	15.5558	-36.6507	inferiortemporal	n/a
LAT5	-49.3352	12.7544	-46.7157781712442	-999	LAT	L	strip	-51.4698	11.1731	-36.5044	middletemporal	n/a
LAT6	-57.4068	6.62487	-38.7892984063258	-999	LAT	L	strip	-58.5373	3.7898	-30.7879	middletemporal	n/a
LAT7	-62.1259	-1.76411	-32.6197297302003	-999	LAT	L	strip	-61.522	-3.64184	-24.2863	middletemporal	n/a
LAT8	-67.4486	-7.95578	-23.8515590418615	-999	LAT	L	strip	-65.0796	-10.3714	-16.464	middletemporal	n/a
LSTA1	-22.5968	17.0313	-39.6581884177465	-999	LSTA	L	strip	-22.6496	15.0501	-29.821	temporalpole	n/a
LSTA2	-24.0874	12.997	-50.2983158884354	-999	LSTA	L	strip	-24.7949	9.18483	-37.2582	temporalpole	n/a
LSTA3	-29.2599	4.73695	-54.6299460082771	-999	LSTA	L	strip	-32.4549	2.69409	-41.0765	fusiform	n/a
LSTA4	-40.4912	0.313337	-52.6660597883065	-999	LSTA	L	strip	-40.4642	-3.80616	-40.6428	inferiortemporal	n/a
LSTA5	-46.745	-8.91627	-47.2297191263195	-999	LSTA	L	strip	-48.2529	-10.2635	-35.9885	inferiortemporal	n/a
LSTA6	-52.4621	-13.9077	-40.1348681946089	-999	LSTA	L	strip	-55.5473	-16.1781	-31.9127	inferiortemporal	n/a
LSTA7	-62.0168	-17.7557	-34.2893721584189	-999	LSTA	L	strip	-62.1813	-21.7053	-25.5727	inferiortemporal	n/a
LSTA8	-67.9249	-22.1947	-26.1946889342913	-999	LSTA	L	strip	-66.0904	-23.5835	-15.6968	inferiortemporal	n/a
LSTB1	-0.675901	-48.3039	13.1759109181772	-999	LSTB	L	strip	-6.2928	-51.8818	18.4558	isthmuscingulate	n/a
LSTB2	-6.31849	-47.6179	4.25424780377736	-999	LSTB	L	strip	-10.9533	-50.1579	9.07982	lingual	n/a
LSTB3	-15.2551	-45.0938	-6.75827045852904	-999	LSTB	L	strip	-17.3232	-48.582	0.0340404	lingual	n/a
LSTB4	-21.4357	-43.0626	-13.7574042147287	-999	LSTB	L	strip	-24.7787	-46.8852	-7.00093	fusiform	n/a
LSTB5	-30.1507	-41.1414	-20.9948235145066	-999	LSTB	L	strip	-32.8433	-44.6191	-13.6324	fusiform	n/a
LSTB6	-41.9783	-40.164	-27.6078015076934	-999	LSTB	L	strip	-42.5847	-41.6235	-17.961	fusiform	n/a
LSTB7	-51.7613	-35.509	-30.362302438321	-999	LSTB	L	strip	-52.9566	-37.3692	-21.0556	inferiortemporal	n/a
LSTB8	-62.2509	-29.6139	-29.0443400094099	-999	LSTB	L	strip	-61.7988	-33.8772	-18.4401	inferiortemporal	n/a
LPT1	-21.9227	-85.2554	47.4932810441399	-999	LPT	L	strip	-25.7227	-84.2645	53.2728	superiorparietal	n/a
LPT2	-30.5867	-82.8774	41.8340436391	-999	LPT	L	strip	-35.9221	-81.6921	50.1849	superiorparietal	n/a
LPT3	-39.9007	-81.1327	38.1412138091588	-999	LPT	L	strip	-44.6748	-77.6351	44.1975	inferiorparietal	n/a
LPT4	-47.8664	-74.3672	32.9545774599849	-999	LPT	L	strip	-51.2271	-72.1147	38.8914	inferiorparietal	n/a
LPT5	-56.4723	-65.7854	24.9137555032924	-999	LPT	L	strip	-57.418	-65.01	32.2651	inferiorparietal	n/a
LPT6	-63.3261	-57.7823	14.5144279850843	-999	LPT	L	strip	-61.9538	-57.9523	24.0261	supramarginal	n/a
LPT7	-68.0676	-46.7823	7.99866738815496	-999	LPT	L	strip	-65.3529	-50.0237	17.1336	bankssts	n/a
LPT8	-72.086	-36.2941	1.17747444004892	-999	LPT	L	strip	-64.1717	-42.3627	9.05396	bankssts	n/a
LAMY1	-24.4893	-12.0783	-9.89984271269329	-999	LAMY	L	depth	-21.9963	-13.3002	-3.13502	n/a	Left Amy
LAMY2	-29.3493	-14.8786	-9.07420400595095	-999	LAMY	L	depth	-27.58	-14.9483	-2.64322	n/a	Left Amy
LAMY3	-33.9001	-17.1278	-10.5521432819293	-999	LAMY	L	depth	-32.6482	-16.7432	-3.56024	n/a	n/a
LAMY4	-39.6997	-18.0145	-9.42762137487746	-999	LAMY	L	depth	-38.2895	-17.8349	-3.15652	superiortemporal	Left CA1
LAMY5	-44.6455	-18.9144	-9.54463732100698	-999	LAMY	L	depth	-43.9096	-19.6163	-3.58314	superiortemporal	n/a
LAMY6	-47.3876	-19.4269	-10.2433992091104	-999	LAMY	L	depth	-47.82	-21.2371	-4.10436	superiortemporal	n/a
LAMY7	-52.4752	-19.0616	-9.90379515121006	-999	LAMY	L	depth	-53.44	-23.0195	-4.53063	superiortemporal	n/a
LAMY8	-58.6246	-19.3846	-8.23793144661648	-999	LAMY	L	depth	-58.4539	-24.6138	-4.06969	superiortemporal	n/a
LH1	-25.8585	-4.6047	-14.0787384689322	-999	LH	L	depth	-24.0682	-6.08343	-7.51455	n/a	n/a
LH2	-29.7757	-7.69805	-14.1434190356632	-999	LH	L	depth	-28.4334	-8.87055	-7.82874	n/a	n/a
LH3	-34.2278	-10.0862	-16.6646060804255	-999	LH	L	depth	-33.5377	-10.7988	-9.66416	n/a	n/a
LH4	-38.0422	-13.5948	-17.6303641575252	-999	LH	L	depth	-37.903	-13.5859	-9.9784	n/a	n/a
LH5	-42.0661	-16.9357	-19.5833271207766	-999	LH	L	depth	-43.4443	-16.6136	-11.1483	fusiform	n/a
LH6	-44.6504	-18.3445	-20.6701383353914	-999	LH	L	depth	-47.3726	-18.3017	-12.129	inferiortemporal	n/a
LH7	-48.8586	-19.6725	-19.843670440974	-999	LH	L	depth	-52.9352	-20.6394	-12.4676	inferiortemporal	n/a
LH8	-54.7942	-20.3957	-17.145670950735	-999	LH	L	depth	-58.404	-23.4	-11.7996	middletemporal	n/a
