name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region
RSMD1	28.2751	-49.3929	22.1691708890562	-999	RSMD	R	depth	-24.7451	9.62687	18.1803	Right Cerebral White Matter
RSMD2	33.4884	-48.3147	24.3090201842634	-999	RSMD	R	depth	-29.1425	9.79329	22.154	Right Cerebral White Matter
RSMD3	36.728	-47.0024	26.9250468575868	-999	RSMD	R	depth	-32.3926	8.93554	25.672	Right Cerebral White Matter
RSMD4	40.024	-46.2786	29.9637852607616	-999	RSMD	R	depth	-36.1918	8.04643	29.1892	Right SMG supramarginal gyrus
RSMD5	43.0824	-46.2316	33.6300291152506	-999	RSMD	R	depth	-40.5891	8.21283	33.1628	Right AnG angular gyrus
RSMD6	43.6547	-43.7984	38.9918054244586	-999	RSMD	R	depth	-43.8403	7.42474	37.3443	Right Cerebral White Matter
RSMD7	46.187	-42.7471	42.9134626743757	-999	RSMD	R	depth	-47.0904	6.56709	40.8623	Right Cerebral White Matter
RSMD8	49.8202	-42.0437	47.6700875505543	-999	RSMD	R	depth	-50.3425	5.84876	45.7073	Right Cerebral White Matter
RSMD9	53.5835	-41.267	53.2702558874684	-999	RSMD	R	depth	-54.6915	4.99783	49.8871	n/a
RSMD10	56.9538	-40.3456	58.4241880960064	-999	RSMD	R	depth	-58.4907	4.10871	53.4042	n/a
RSPD1	18.4305	-62.1544	15.4533929246815	-999	RSPD	R	depth	-15.5041	23.0909	7.45299	Right Cerebral White Matter
RSPD2	24.5368	-59.2085	19.7401265503925	-999	RSPD	R	depth	-20.8796	20.7207	12.6035	Right Cerebral White Matter
RSPD3	31.0885	-57.1063	23.0494295574461	-999	RSPD	R	depth	-26.3286	19.9462	18.1084	Right Cerebral White Matter
RSPD4	36.8011	-54.7849	26.9776283516367	-999	RSPD	R	depth	-31.7773	19.1716	23.6132	Right Cerebral White Matter
RSPD5	40.6202	-53.1221	30.8465875172657	-999	RSPD	R	depth	-36.6271	17.272	27.9982	Right SPL superior parietal lobule
RSPD6	43.2914	-52.7426	37.4586885568753	-999	RSPD	R	depth	-42.0779	16.6369	34.8299	Right Cerebral White Matter
RSPD7	45.7014	-51.9807	44.2766688291782	-999	RSPD	R	depth	-47.5266	15.8623	40.3348	Right AnG angular gyrus
RSPD8	49.6898	-49.5518	51.3711150263448	-999	RSPD	R	depth	-51.8293	14.1335	46.0474	n/a
RSPD9	53.9448	-48.5337	55.9655282506548	-999	RSPD	R	depth	-56.1775	13.2129	49.5637	n/a
RSPD10	57.3497	-47.6276	59.3252405046437	-999	RSPD	R	depth	-59.9757	12.254	52.4174	n/a
RPSD1	30.5862	-55.1125	12.7976643959631	-999	RPSD	R	depth	-26.1184	14.5528	6.32698	Right Lateral Ventricle
RPSD2	34.4662	-58.1388	14.2183163713609	-999	RPSD	R	depth	-28.5102	18.7053	7.4896	Right Cerebral White Matter
RPSD3	39.0781	-61.9034	14.2150454284928	-999	RPSD	R	depth	-32.0214	23.0943	6.5571	Right Cerebral White Matter
RPSD4	42.5442	-64.9724	15.082674331721	-999	RPSD	R	depth	-36.0584	27.013	6.39004	Right Cerebral White Matter
RPSD5	44.6366	-67.5153	15.4544186619391	-999	RPSD	R	depth	-39.4971	29.8762	5.76666	Right Cerebral White Matter
RPSD6	48.174	-69.9088	16.2249379384072	-999	RPSD	R	depth	-45.1337	32.7528	6.46656	Right Cerebral White Matter
RPSD7	50.8072	-71.0612	17.3433874950764	-999	RPSD	R	depth	-49.624	34.6751	7.3743	Right MOG middle occipital gyrus
RPSD8	54.1759	-71.67	18.2719679355214	-999	RPSD	R	depth	-54.1135	36.5276	7.6186	Right MOG middle occipital gyrus
RPSD9	57.7649	-72.691	19.9713736431662	-999	RPSD	R	depth	-58.6038	38.4498	8.52629	n/a
RPSD10	62.4625	-75.5573	21.0535510107654	-999	RPSD	R	depth	-63.6905	41.2882	8.56365	n/a
RPID1	24.8494	-64.1325	3.41276005769134	-999	RPID	R	depth	-21.0754	23.6393	-3.98087	Right Calc calcarine cortex
RPID2	29.9935	-65.023	5.59926651559062	-999	RPID	R	depth	-25.5649	25.4904	-3.76583	Right Cerebral White Matter
RPID3	36.6237	-64.288	6.99993815111005	-999	RPID	R	depth	-31.103	26.1939	-3.9651	Right Cerebral White Matter
RPID4	44.1475	-64.3912	9.63274893144804	-999	RPID	R	depth	-37.1939	27.133	-1.74264	Right Cerebral White Matter
RPID5	48.0878	-65.2696	9.78280567516507	-999	RPID	R	depth	-41.6825	28.9172	-2.13322	Right IOG inferior occipital gyrus
RPID6	53.3155	-64.5912	9.85658262658444	-999	RPID	R	depth	-47.2216	29.6875	-1.72686	Right MTG middle temporal gyrus
RPID7	57.1801	-65.5494	10.318186236421	-999	RPID	R	depth	-52.81	31.5456	-0.843819	Right MTG middle temporal gyrus
RPID8	60.9242	-65.6007	10.3112628803892	-999	RPID	R	depth	-58.3482	32.2481	-1.05867	n/a
RPID9	65.0174	-66.9211	11.0908508742011	-999	RPID	R	depth	-63.3382	33.052	-0.609219	n/a
RPID10	68.9426	-68.3897	12.4661870071577	-999	RPID	R	depth	-67.7803	33.9568	0.504556	n/a
